symbol,symbol1,LOTSIZE,SEHKENG,HSTECH_LIST
27 HK Equity,00027.HK,1000,Consumer Discretionary,0
38 HK Equity,00038.HK,2000,Industrials,0
66 HK Equity,00066.HK,500,Consumer Discretionary,0
69 HK Equity,00069.HK,2000,Consumer Discretionary,0
107 HK Equity,00107.HK,2000,Industrials,0
116 HK Equity,00116.HK,1000,Consumer Discretionary,0
136 HK Equity,00136.HK,4000,Information Technology,1
144 HK Equity,00144.HK,2000,Industrials,0
148 HK Equity,00148.HK,500,Industrials,0
152 HK Equity,00152.HK,500,Industrials,0
175 HK Equity,00175.HK,1000,Consumer Discretionary,0
177 HK Equity,00177.HK,2000,Industrials,0
179 HK Equity,00179.HK,500,Consumer Discretionary,0
200 HK Equity,00200.HK,1000,Consumer Discretionary,0
241 HK Equity,00241.HK,2000,Healthcare,1
256 HK Equity,00256.HK,2000,Consumer Discretionary,0
268 HK Equity,00268.HK,1000,Information Technology,1
285 HK Equity,00285.HK,500,Information Technology,1
293 HK Equity,00293.HK,1000,Consumer Discretionary,0
302 HK Equity,00302.HK,2000,Information Technology,1
303 HK Equity,00303.HK,100,Information Technology,0
308 HK Equity,00308.HK,2000,Consumer Discretionary,0
317 HK Equity,00317.HK,2000,Industrials,0
341 HK Equity,00341.HK,2000,Consumer Discretionary,0
354 HK Equity,00354.HK,2000,Information Technology,0
425 HK Equity,00425.HK,2000,Consumer Discretionary,0
460 HK Equity,00460.HK,1000,Healthcare,0
489 HK Equity,00489.HK,2000,Industrials,0
493 HK Equity,00493.HK,1000,Consumer Discretionary,0
512 HK Equity,00512.HK,4000,Healthcare,0
520 HK Equity,00520.HK,500,Consumer Discretionary,0
522 HK Equity,00522.HK,100,Information Technology,1
525 HK Equity,00525.HK,2000,Consumer Discretionary,0
548 HK Equity,00548.HK,2000,Industrials,0
551 HK Equity,00551.HK,500,Consumer Discretionary,0
552 HK Equity,00552.HK,2000,Information Technology,0
553 HK Equity,00553.HK,2000,Information Technology,0
564 HK Equity,00564.HK,200,Consumer Discretionary,0
570 HK Equity,00570.HK,2000,Healthcare,0
576 HK Equity,00576.HK,2000,Industrials,0
586 HK Equity,00586.HK,500,Industrials,0
590 HK Equity,00590.HK,1000,Consumer Discretionary,0
598 HK Equity,00598.HK,1000,Industrials,0
631 HK Equity,00631.HK,1000,Industrials,0
636 HK Equity,00636.HK,500,Industrials,0
658 HK Equity,00658.HK,1000,Industrials,0
667 HK Equity,00667.HK,500,Consumer Discretionary,0
669 HK Equity,00669.HK,500,Consumer Discretionary,0
670 HK Equity,00670.HK,2000,Consumer Discretionary,0
694 HK Equity,00694.HK,2000,Consumer Discretionary,0
696 HK Equity,00696.HK,1000,Information Technology,0
699 HK Equity,00699.HK,1000,Consumer Discretionary,0
700 HK Equity,00700.HK,100,Information Technology,1
719 HK Equity,00719.HK,2000,Healthcare,0
751 HK Equity,00751.HK,2000,Consumer Discretionary,0
753 HK Equity,00753.HK,2000,Consumer Discretionary,0
763 HK Equity,00763.HK,200,Information Technology,1
772 HK Equity,00772.HK,200,Consumer Discretionary,1
777 HK Equity,00777.HK,500,Information Technology,1
780 HK Equity,00780.HK,400,Consumer Discretionary,1
799 HK Equity,00799.HK,1000,Information Technology,0
811 HK Equity,00811.HK,1000,Consumer Discretionary,0
819 HK Equity,00819.HK,2000,Industrials,0
839 HK Equity,00839.HK,1000,Consumer Discretionary,0
853 HK Equity,00853.HK,1000,Healthcare,0
856 HK Equity,00856.HK,2000,Information Technology,0
861 HK Equity,00861.HK,1000,Information Technology,0
867 HK Equity,00867.HK,1000,Healthcare,0
868 HK Equity,00868.HK,2000,Industrials,0
874 HK Equity,00874.HK,2000,Healthcare,0
880 HK Equity,00880.HK,1000,Consumer Discretionary,0
881 HK Equity,00881.HK,500,Consumer Discretionary,0
895 HK Equity,00895.HK,200,Industrials,0
909 HK Equity,00909.HK,1000,Information Technology,0
921 HK Equity,00921.HK,1000,Consumer Discretionary,0
968 HK Equity,00968.HK,2000,Industrials,0
981 HK Equity,00981.HK,500,Information Technology,1
992 HK Equity,00992.HK,2000,Information Technology,1
995 HK Equity,00995.HK,2000,Industrials,0
1052 HK Equity,01052.HK,2000,Industrials,0
1055 HK Equity,01055.HK,2000,Consumer Discretionary,0
1057 HK Equity,01057.HK,2000,Consumer Discretionary,0
1060 HK Equity,01060.HK,10000,Consumer Discretionary,0
1066 HK Equity,01066.HK,4000,Healthcare,0
1070 HK Equity,01070.HK,1000,Consumer Discretionary,0
1072 HK Equity,01072.HK,200,Industrials,0
1089 HK Equity,01089.HK,5000,Information Technology,0
1093 HK Equity,01093.HK,2000,Healthcare,1
1099 HK Equity,01099.HK,400,Healthcare,0
1108 HK Equity,01108.HK,2000,Industrials,0
1114 HK Equity,01114.HK,2000,Consumer Discretionary,0
1119 HK Equity,01119.HK,400,Information Technology,0
1128 HK Equity,01128.HK,400,Consumer Discretionary,0
1138 HK Equity,01138.HK,2000,Industrials,0
1157 HK Equity,01157.HK,200,Industrials,0
1169 HK Equity,01169.HK,1000,Consumer Discretionary,1
1177 HK Equity,01177.HK,1000,Healthcare,1
1196 HK Equity,01196.HK,2000,Industrials,0
1199 HK Equity,01199.HK,2000,Industrials,0
1211 HK Equity,01211.HK,500,Consumer Discretionary,0
1212 HK Equity,01212.HK,500,Consumer Discretionary,0
1234 HK Equity,01234.HK,1000,Consumer Discretionary,0
1268 HK Equity,01268.HK,2000,Consumer Discretionary,0
1269 HK Equity,01269.HK,2000,Consumer Discretionary,0
1302 HK Equity,01302.HK,2000,Healthcare,0
1308 HK Equity,01308.HK,1000,Industrials,0
1316 HK Equity,01316.HK,1000,Consumer Discretionary,0
1317 HK Equity,01317.HK,2000,Consumer Discretionary,0
1347 HK Equity,01347.HK,1000,Information Technology,1
1357 HK Equity,01357.HK,500,Information Technology,0
1368 HK Equity,01368.HK,500,Consumer Discretionary,0
1382 HK Equity,01382.HK,1000,Consumer Discretionary,0
1383 HK Equity,01383.HK,10000,Consumer Discretionary,0
1448 HK Equity,01448.HK,1000,Consumer Discretionary,0
1478 HK Equity,01478.HK,1000,Industrials,1
1513 HK Equity,01513.HK,100,Healthcare,0
1515 HK Equity,01515.HK,500,Healthcare,0
1521 HK Equity,01521.HK,2000,Healthcare,0
1530 HK Equity,01530.HK,500,Healthcare,0
1548 HK Equity,01548.HK,2000,Healthcare,0
1558 HK Equity,01558.HK,200,Healthcare,0
1569 HK Equity,01569.HK,2000,Consumer Discretionary,0
1585 HK Equity,01585.HK,2000,Consumer Discretionary,0
1675 HK Equity,01675.HK,400,Information Technology,0
1686 HK Equity,01686.HK,1000,Information Technology,0
1691 HK Equity,01691.HK,500,Consumer Discretionary,0
1765 HK Equity,01765.HK,2000,Consumer Discretionary,0
1766 HK Equity,01766.HK,1000,Industrials,0
1773 HK Equity,01773.HK,1000,Consumer Discretionary,0
1789 HK Equity,01789.HK,2000,Healthcare,1
1797 HK Equity,01797.HK,500,Consumer Discretionary,1
1801 HK Equity,01801.HK,500,Healthcare,0
1810 HK Equity,01810.HK,200,Information Technology,1
1817 HK Equity,01817.HK,500,Consumer Discretionary,0
1833 HK Equity,01833.HK,100,Healthcare,1
1836 HK Equity,01836.HK,500,Consumer Discretionary,0
1848 HK Equity,01848.HK,500,Consumer Discretionary,0
1860 HK Equity,01860.HK,1000,Consumer Discretionary,0
1873 HK Equity,01873.HK,500,Healthcare,0
1882 HK Equity,01882.HK,1000,Industrials,0
1888 HK Equity,01888.HK,500,Industrials,0
1890 HK Equity,01890.HK,2000,Consumer Discretionary,0
1896 HK Equity,01896.HK,200,Consumer Discretionary,1
1919 HK Equity,01919.HK,500,Industrials,0
1928 HK Equity,01928.HK,400,Consumer Discretionary,0
1929 HK Equity,01929.HK,200,Consumer Discretionary,0
1951 HK Equity,01951.HK,2000,Healthcare,0
1958 HK Equity,01958.HK,500,Consumer Discretionary,0
1970 HK Equity,01970.HK,100,Consumer Discretionary,0
1999 HK Equity,01999.HK,400,Consumer Discretionary,0
2001 HK Equity,02001.HK,1000,Consumer Discretionary,0
2005 HK Equity,02005.HK,2000,Healthcare,0
2013 HK Equity,02013.HK,1000,Consumer Discretionary,1
2018 HK Equity,02018.HK,500,Industrials,1
2020 HK Equity,02020.HK,1000,Consumer Discretionary,1
2038 HK Equity,02038.HK,1000,Information Technology,0
2039 HK Equity,02039.HK,100,Industrials,0
2186 HK Equity,02186.HK,500,Healthcare,0
2196 HK Equity,02196.HK,500,Healthcare,0
2208 HK Equity,02208.HK,200,Industrials,0
2238 HK Equity,02238.HK,2000,Consumer Discretionary,1
2269 HK Equity,02269.HK,500,Healthcare,0
2282 HK Equity,02282.HK,400,Consumer Discretionary,0
2313 HK Equity,02313.HK,100,Consumer Discretionary,0
2331 HK Equity,02331.HK,500,Consumer Discretionary,1
2333 HK Equity,02333.HK,500,Consumer Discretionary,0
2338 HK Equity,02338.HK,1000,Industrials,0
2342 HK Equity,02342.HK,2000,Information Technology,0
2343 HK Equity,02343.HK,1000,Industrials,0
2357 HK Equity,02357.HK,1000,Industrials,0
2359 HK Equity,02359.HK,100,Healthcare,0
2382 HK Equity,02382.HK,100,Industrials,1
2400 HK Equity,02400.HK,200,Information Technology,1
2588 HK Equity,02588.HK,100,Consumer Discretionary,0
2607 HK Equity,02607.HK,100,Healthcare,0
2678 HK Equity,02678.HK,500,Consumer Discretionary,0
2727 HK Equity,02727.HK,2000,Industrials,0
2866 HK Equity,02866.HK,1000,Industrials,0
2877 HK Equity,02877.HK,1000,Healthcare,0
2880 HK Equity,02880.HK,2000,Industrials,0
3306 HK Equity,03306.HK,500,Consumer Discretionary,0
3309 HK Equity,03309.HK,2000,Healthcare,0
3320 HK Equity,03320.HK,500,Healthcare,0
3339 HK Equity,03339.HK,1000,Industrials,0
3369 HK Equity,03369.HK,500,Industrials,0
3396 HK Equity,03396.HK,100,Information Technology,0
3606 HK Equity,03606.HK,400,Consumer Discretionary,0
3613 HK Equity,03613.HK,1000,Healthcare,0
3669 HK Equity,03669.HK,500,Consumer Discretionary,0
3690 HK Equity,03690.HK,100,Information Technology,1
3692 HK Equity,03692.HK,2000,Healthcare,0
3759 HK Equity,03759.HK,100,Healthcare,0
3800 HK Equity,03800.HK,1000,Industrials,0
3808 HK Equity,03808.HK,500,Industrials,0
3813 HK Equity,03813.HK,1000,Consumer Discretionary,0
3836 HK Equity,03836.HK,500,Consumer Discretionary,0
3888 HK Equity,03888.HK,1000,Information Technology,1
3898 HK Equity,03898.HK,100,Industrials,0
3933 HK Equity,03933.HK,2000,Healthcare,0
3969 HK Equity,03969.HK,1000,Information Technology,0
3998 HK Equity,03998.HK,2000,Consumer Discretionary,0
6068 HK Equity,06068.HK,2000,Consumer Discretionary,0
6078 HK Equity,06078.HK,200,Healthcare,0
6088 HK Equity,06088.HK,1000,Information Technology,1
6110 HK Equity,06110.HK,1000,Consumer Discretionary,0
6160 HK Equity,06160.HK,100,Healthcare,0
6169 HK Equity,06169.HK,2000,Consumer Discretionary,0
6198 HK Equity,06198.HK,1000,Industrials,0
6862 HK Equity,06862.HK,1000,Consumer Discretionary,0
6865 HK Equity,06865.HK,1000,Industrials,0
6869 HK Equity,06869.HK,500,Information Technology,0
6969 HK Equity,06969.HK,1000,Consumer Discretionary,0
9922 HK Equity,09922.HK,1000,Consumer Discretionary,0
9923 HK Equity,09923.HK,400,Information Technology,0
9989 HK Equity,09989.HK,500,Healthcare,0
9990 HK Equity,09990.HK,1000,Information Technology,0
9997 HK Equity,09997.HK,500,Healthcare,0
6060 HK Equity,06060.HK,40,Financials,1
2858 HK Equity,02858.HK,40,Financials,1